Месяц,Экспорт: (Россия)
2004-01,86
2004-02,100
2004-03,91
2004-04,80
2004-05,83
2004-06,92
2004-07,74
2004-08,67
2004-09,77
2004-10,83
2004-11,71
2004-12,66
2005-01,58
2005-02,79
2005-03,68
2005-04,79
2005-05,57
2005-06,65
2005-07,78
2005-08,81
2005-09,59
2005-10,59
2005-11,71
2005-12,62
2006-01,61
2006-02,57
2006-03,69
2006-04,61
2006-05,64
2006-06,51
2006-07,51
2006-08,54
2006-09,57
2006-10,60
2006-11,52
2006-12,49
2007-01,53
2007-02,48
2007-03,53
2007-04,58
2007-05,58
2007-06,46
2007-07,52
2007-08,46
2007-09,49
2007-10,47
2007-11,48
2007-12,47
2008-01,40
2008-02,42
2008-03,46
2008-04,46
2008-05,45
2008-06,37
2008-07,38
2008-08,35
2008-09,37
2008-10,35
2008-11,35
2008-12,36
2009-01,36
2009-02,39
2009-03,40
2009-04,39
2009-05,35
2009-06,35
2009-07,31
2009-08,31
2009-09,34
2009-10,38
2009-11,31
2009-12,32
2010-01,30
2010-02,31
2010-03,36
2010-04,35
2010-05,38
2010-06,33
2010-07,27
2010-08,30
2010-09,32
2010-10,32
2010-11,30
2010-12,30
2011-01,21
2011-02,22
2011-03,25
2011-04,26
2011-05,27
2011-06,24
2011-07,21
2011-08,20
2011-09,21
2011-10,21
2011-11,22
2011-12,21
2012-01,18
2012-02,19
2012-03,21
2012-04,21
2012-05,21
2012-06,19
2012-07,17
2012-08,17
2012-09,17
2012-10,16
2012-11,16
2012-12,17
2013-01,16
2013-02,16
2013-03,17
2013-04,18
2013-05,17
2013-06,15
2013-07,15
2013-08,15
2013-09,15
2013-10,16
2013-11,16
2013-12,16
2014-01,14
2014-02,15
2014-03,17
2014-04,17
2014-05,16
2014-06,14
2014-07,13
2014-08,13
2014-09,14
2014-10,15
2014-11,14
2014-12,16
2015-01,12
2015-02,13
2015-03,14
2015-04,15
2015-05,13
2015-06,13
2015-07,12
2015-08,12
2015-09,13
2015-10,15
2015-11,14
2015-12,16
2016-01,13
2016-02,14
2016-03,16
2016-04,15
2016-05,15
2016-06,13
2016-07,11
2016-08,10
2016-09,13
2016-10,15
2016-11,15
2016-12,17
2017-01,12
2017-02,14
2017-03,16
2017-04,17
2017-05,16
2017-06,13
2017-07,10
2017-08,11
2017-09,12
2017-10,14
2017-11,16
2017-12,15
2018-01,13
2018-02,13
2018-03,14
2018-04,16
2018-05,14
2018-06,12
2018-07,10
2018-08,11
2018-09,12
2018-10,15
2018-11,14
2018-12,14
2019-01,12
2019-02,13
2019-03,14
2019-04,16
2019-05,14
2019-06,13
2019-07,11
2019-08,12
2019-09,14
2019-10,15
2019-11,15
2019-12,14
2020-01,13
2020-02,15
2020-03,15
2020-04,17
2020-05,16
2020-06,15
2020-07,13
2020-08,11
2020-09,14
2020-10,13
2020-11,12
2020-12,13
2021-01,12
2021-02,13
2021-03,15
2021-04,15
2021-05,14
2021-06,13
2021-07,11
2021-08,11
2021-09,13
2021-10,14
2021-11,14
2021-12,17
2022-01,16
2022-02,21
2022-03,33
2022-04,24
2022-05,22
2022-06,20
2022-07,17
2022-08,16
2022-09,16
2022-10,18
2022-11,18
2022-12,18
2023-01,15
2023-02,17
2023-03,19
2023-04,19
2023-05,18
2023-06,17
2023-07,19
2023-08,17
2023-09,19
2023-10,19
2023-11,19
2023-12,19
2024-01,16
2024-02,18
2024-03,20
2024-04,22
2024-05,20
2024-06,18
2024-07,17
2024-08,17
