Месяц,Кризис: (Россия)
2004-01,10
2004-02,7
2004-03,15
2004-04,24
2004-05,13
2004-06,15
2004-07,21
2004-08,0
2004-09,5
2004-10,8
2004-11,15
2004-12,15
2005-01,10
2005-02,12
2005-03,11
2005-04,17
2005-05,14
2005-06,8
2005-07,6
2005-08,4
2005-09,7
2005-10,10
2005-11,12
2005-12,15
2006-01,10
2006-02,10
2006-03,13
2006-04,13
2006-05,15
2006-06,11
2006-07,3
2006-08,5
2006-09,10
2006-10,13
2006-11,11
2006-12,15
2007-01,11
2007-02,9
2007-03,11
2007-04,14
2007-05,12
2007-06,10
2007-07,5
2007-08,8
2007-09,14
2007-10,13
2007-11,17
2007-12,18
2008-01,17
2008-02,13
2008-03,15
2008-04,18
2008-05,17
2008-06,13
2008-07,8
2008-08,9
2008-09,26
2008-10,100
2008-11,93
2008-12,86
2009-01,74
2009-02,68
2009-03,56
2009-04,55
2009-05,50
2009-06,33
2009-07,23
2009-08,20
2009-09,22
2009-10,25
2009-11,24
2009-12,25
2010-01,16
2010-02,15
2010-03,18
2010-04,20
2010-05,23
2010-06,14
2010-07,8
2010-08,7
2010-09,10
2010-10,14
2010-11,14
2010-12,14
2011-01,10
2011-02,11
2011-03,14
2011-04,15
2011-05,15
2011-06,12
2011-07,9
2011-08,9
2011-09,12
2011-10,13
2011-11,13
2011-12,13
2012-01,10
2012-02,9
2012-03,9
2012-04,10
2012-05,11
2012-06,10
2012-07,7
2012-08,6
2012-09,8
2012-10,9
2012-11,9
2012-12,9
2013-01,7
2013-02,7
2013-03,9
2013-04,9
2013-05,8
2013-06,7
2013-07,5
2013-08,4
2013-09,7
2013-10,11
2013-11,9
2013-12,11
2014-01,8
2014-02,8
2014-03,10
2014-04,10
2014-05,8
2014-06,6
2014-07,4
2014-08,4
2014-09,6
2014-10,9
2014-11,10
2014-12,17
2015-01,11
2015-02,10
2015-03,10
2015-04,9
2015-05,8
2015-06,7
2015-07,5
2015-08,5
2015-09,8
2015-10,10
2015-11,9
2015-12,10
2016-01,10
2016-02,9
2016-03,9
2016-04,9
2016-05,8
2016-06,6
2016-07,4
2016-08,6
2016-09,7
2016-10,9
2016-11,9
2016-12,9
2017-01,7
2017-02,6
2017-03,7
2017-04,8
2017-05,8
2017-06,4
2017-07,2
2017-08,4
2017-09,6
2017-10,8
2017-11,8
2017-12,8
2018-01,6
2018-02,6
2018-03,6
2018-04,7
2018-05,6
2018-06,4
2018-07,3
2018-08,4
2018-09,6
2018-10,7
2018-11,8
2018-12,7
2019-01,5
2019-02,5
2019-03,6
2019-04,6
2019-05,6
2019-06,5
2019-07,3
2019-08,4
2019-09,6
2019-10,7
2019-11,7
2019-12,7
2020-01,6
2020-02,6
2020-03,12
2020-04,12
2020-05,8
2020-06,5
2020-07,4
2020-08,3
2020-09,6
2020-10,7
2020-11,7
2020-12,7
2021-01,5
2021-02,5
2021-03,6
2021-04,6
2021-05,5
2021-06,4
2021-07,3
2021-08,3
2021-09,5
2021-10,6
2021-11,6
2021-12,6
2022-01,6
2022-02,8
2022-03,11
2022-04,8
2022-05,8
2022-06,5
2022-07,4
2022-08,4
2022-09,7
2022-10,9
2022-11,8
2022-12,7
2023-01,6
2023-02,6
2023-03,9
2023-04,8
2023-05,8
2023-06,6
2023-07,4
2023-08,4
2023-09,8
2023-10,9
2023-11,8
2023-12,8
2024-01,7
2024-02,9
2024-03,8
2024-04,8
2024-05,8
2024-06,7
2024-07,5
2024-08,5
