Месяц,Торговля: (Россия)
2004-01,100
2004-02,75
2004-03,91
2004-04,97
2004-05,76
2004-06,90
2004-07,83
2004-08,90
2004-09,73
2004-10,91
2004-11,90
2004-12,87
2005-01,74
2005-02,79
2005-03,78
2005-04,87
2005-05,87
2005-06,81
2005-07,74
2005-08,62
2005-09,69
2005-10,78
2005-11,91
2005-12,75
2006-01,69
2006-02,70
2006-03,77
2006-04,83
2006-05,83
2006-06,65
2006-07,63
2006-08,59
2006-09,55
2006-10,66
2006-11,64
2006-12,61
2007-01,58
2007-02,56
2007-03,61
2007-04,68
2007-05,74
2007-06,57
2007-07,54
2007-08,48
2007-09,51
2007-10,56
2007-11,57
2007-12,56
2008-01,53
2008-02,52
2008-03,57
2008-04,57
2008-05,55
2008-06,48
2008-07,46
2008-08,38
2008-09,44
2008-10,48
2008-11,52
2008-12,47
2009-01,46
2009-02,46
2009-03,52
2009-04,53
2009-05,56
2009-06,47
2009-07,46
2009-08,38
2009-09,44
2009-10,47
2009-11,48
2009-12,49
2010-01,42
2010-02,44
2010-03,49
2010-04,48
2010-05,53
2010-06,45
2010-07,39
2010-08,35
2010-09,40
2010-10,41
2010-11,44
2010-12,40
2011-01,32
2011-02,32
2011-03,34
2011-04,34
2011-05,34
2011-06,31
2011-07,32
2011-08,25
2011-09,28
2011-10,32
2011-11,31
2011-12,29
2012-01,28
2012-02,28
2012-03,31
2012-04,30
2012-05,31
2012-06,28
2012-07,30
2012-08,23
2012-09,25
2012-10,27
2012-11,26
2012-12,26
2013-01,25
2013-02,25
2013-03,26
2013-04,27
2013-05,27
2013-06,28
2013-07,28
2013-08,23
2013-09,24
2013-10,27
2013-11,27
2013-12,25
2014-01,24
2014-02,25
2014-03,26
2014-04,25
2014-05,25
2014-06,25
2014-07,28
2014-08,21
2014-09,22
2014-10,23
2014-11,24
2014-12,23
2015-01,19
2015-02,20
2015-03,23
2015-04,24
2015-05,23
2015-06,24
2015-07,28
2015-08,19
2015-09,22
2015-10,22
2015-11,21
2015-12,24
2016-01,21
2016-02,24
2016-03,28
2016-04,26
2016-05,27
2016-06,24
2016-07,30
2016-08,20
2016-09,23
2016-10,25
2016-11,25
2016-12,28
2017-01,31
2017-02,39
2017-03,45
2017-04,39
2017-05,40
2017-06,40
2017-07,50
2017-08,42
2017-09,40
2017-10,43
2017-11,43
2017-12,37
2018-01,40
2018-02,38
2018-03,33
2018-04,31
2018-05,28
2018-06,28
2018-07,36
2018-08,25
2018-09,29
2018-10,32
2018-11,36
2018-12,34
2019-01,27
2019-02,28
2019-03,30
2019-04,28
2019-05,28
2019-06,34
2019-07,42
2019-08,28
2019-09,30
2019-10,30
2019-11,29
2019-12,32
2020-01,28
2020-02,30
2020-03,29
2020-04,30
2020-05,27
2020-06,26
2020-07,30
2020-08,24
2020-09,28
2020-10,30
2020-11,29
2020-12,31
2021-01,30
2021-02,31
2021-03,31
2021-04,31
2021-05,31
2021-06,29
2021-07,39
2021-08,26
2021-09,26
2021-10,27
2021-11,32
2021-12,31
2022-01,30
2022-02,33
2022-03,31
2022-04,30
2022-05,31
2022-06,32
2022-07,42
2022-08,35
2022-09,34
2022-10,35
2022-11,31
2022-12,34
2023-01,32
2023-02,31
2023-03,34
2023-04,35
2023-05,36
2023-06,31
2023-07,39
2023-08,33
2023-09,32
2023-10,32
2023-11,32
2023-12,32
2024-01,28
2024-02,21
2024-03,27
2024-04,35
2024-05,34
2024-06,31
2024-07,40
2024-08,36
