,Месяц,Кризис,Экспорт,Курс рубля,курс юаня,Дефолт,COVID-19,Заработная плата,Инфляция,Российско-украинская война,Импорт,Торговля
0,2004-01,10,86,0,0,0,0,28,78,0,99,100
1,2004-02,7,100,0,0,0,0,45,72,0,100,75
2,2004-03,15,91,0,0,0,0,40,0,0,79,91
3,2004-04,24,80,0,0,0,0,61,81,0,82,97
4,2004-05,13,83,0,0,0,0,46,84,0,99,76
5,2004-06,15,92,0,0,0,0,40,82,0,89,90
6,2004-07,21,74,0,0,0,0,30,0,0,99,83
7,2004-08,0,67,0,0,0,0,30,0,0,74,90
8,2004-09,5,77,0,0,0,0,35,0,0,94,73
9,2004-10,8,83,0,0,0,0,42,37,0,90,91
10,2004-11,15,71,0,0,0,0,43,70,0,58,90
11,2004-12,15,66,0,0,0,0,40,41,0,80,87
12,2005-01,10,58,0,0,0,0,43,64,0,79,74
13,2005-02,12,79,0,0,0,0,53,57,0,96,79
14,2005-03,11,68,0,0,0,0,52,80,0,99,78
15,2005-04,17,79,0,0,0,0,46,90,0,83,87
16,2005-05,14,57,0,0,0,0,49,98,0,81,87
17,2005-06,8,65,0,0,0,0,50,54,0,95,81
18,2005-07,6,78,0,0,0,0,42,50,0,87,74
19,2005-08,4,81,0,0,0,0,49,56,0,77,62
20,2005-09,7,59,0,0,0,0,52,49,0,73,69
21,2005-10,10,59,0,0,0,0,42,70,0,83,78
22,2005-11,12,71,0,0,0,0,54,73,0,78,91
23,2005-12,15,62,0,0,0,0,51,99,0,78,75
24,2006-01,10,61,0,0,0,0,43,53,0,57,69
25,2006-02,10,57,0,0,8,0,51,72,0,77,70
26,2006-03,13,69,0,0,4,0,49,67,0,81,77
27,2006-04,13,61,0,0,0,0,56,92,0,83,83
28,2006-05,15,64,4,0,5,0,59,93,0,73,83
29,2006-06,11,51,0,0,0,0,47,62,0,69,65
30,2006-07,3,51,4,0,0,0,42,29,0,71,63
31,2006-08,5,54,0,0,4,0,48,46,0,74,59
32,2006-09,10,57,0,0,0,0,45,45,0,66,55
33,2006-10,13,60,0,0,0,0,45,55,0,70,66
34,2006-11,11,52,0,0,3,0,50,70,0,63,64
35,2006-12,15,49,2,0,0,0,46,65,0,57,61
36,2007-01,11,53,0,0,2,0,56,59,0,66,58
37,2007-02,9,48,0,0,0,0,49,51,0,63,56
38,2007-03,11,53,3,0,0,0,48,64,0,77,61
39,2007-04,14,58,0,0,4,0,52,74,0,59,68
40,2007-05,12,58,0,0,2,0,54,84,0,67,74
41,2007-06,10,46,3,0,0,0,53,57,0,57,57
42,2007-07,5,52,2,0,3,0,47,46,0,62,54
43,2007-08,8,46,0,0,4,0,54,31,0,58,48
44,2007-09,14,49,0,0,6,0,57,63,0,54,51
45,2007-10,13,47,2,0,12,0,54,73,0,58,56
46,2007-11,17,48,1,0,7,0,59,84,0,61,57
47,2007-12,18,47,2,0,11,0,52,100,0,50,56
48,2008-01,17,40,1,0,15,0,57,81,0,47,53
49,2008-02,13,42,2,3,9,0,60,80,0,55,52
50,2008-03,15,46,2,0,6,0,55,84,0,51,57
51,2008-04,18,46,2,0,4,0,58,94,0,53,57
52,2008-05,17,45,1,0,4,0,60,96,0,52,55
53,2008-06,13,37,3,0,3,0,55,77,0,48,48
54,2008-07,8,38,2,0,4,0,57,47,0,48,46
