date,goal
01/01/91,103.2
02/01/91,105.2
03/01/91,105.5
04/01/91,121.5
05/01/91,103.9
06/01/91,103.5
07/01/91,104.4
08/01/91,101.9
09/01/91,101.8
10/01/91,102.6
11/01/91,103.9
12/01/91,103.4
01/01/92,230
02/01/92,140
03/01/92,118
04/01/92,131.2
05/01/92,117.8
06/01/92,139.1
07/01/92,120.8
08/01/92,110.52
09/01/92,110.9
10/01/92,128.88
11/01/92,122.6
12/01/92,116.2
01/01/93,150
02/01/93,132
03/01/93,128.79
04/01/93,140
05/01/93,134.8
06/01/93,117.3
07/01/93,129.29
08/01/93,149.78
09/01/93,124.8
10/01/93,124.3
11/01/93,123
12/01/93,115.6
01/01/94,137.72
02/01/94,121.52
03/01/94,116.82
04/01/94,131.82
05/01/94,112.72
06/01/94,111.41
07/01/94,113.3
08/01/94,109.92
09/01/94,113.4
10/01/94,110.52
11/01/94,110.5
12/01/94,111.5
01/01/95,122.68
02/01/95,119.34
03/01/95,110.48
04/01/95,112.22
05/01/95,111.15
06/01/95,108.73
07/01/95,109.68
08/01/95,107.86
09/01/95,107.1
10/01/95,108.91
11/01/95,106.61
12/01/95,102.95
01/01/96,108.05
02/01/96,105.64
03/01/96,104.3
04/01/96,105.01
05/01/96,102.16
06/01/96,101.13
07/01/96,102.31
08/01/96,102.71
09/01/96,101.61
10/01/96,103.93
11/01/96,102.72
12/01/96,100.8
01/01/97,102.34
02/01/97,103.59
03/01/97,102.48
04/01/97,101.58
05/01/97,101.97
06/01/97,101
07/01/97,102.27
08/01/97,101.05
09/01/97,101.21
10/01/97,101.15
11/01/97,101.13
12/01/97,100.74
01/01/98,101.65
02/01/98,101.04
03/01/98,101.23
04/01/98,100.98
05/01/98,101.05
06/01/98,100.56
07/01/98,101.22
08/01/98,101.17
09/01/98,103.38
10/01/98,101.6
11/01/98,101.25
12/01/98,101.8
01/01/99,104.13
02/01/99,103.17
03/01/99,101.91
04/01/99,103.13
05/01/99,102.14
06/01/99,103.48
07/01/99,103.13
08/01/99,101.93
09/01/99,102.02
10/01/99,102.04
11/01/99,101.71
12/01/99,100.91
01/01/00,103.37
02/01/00,102.97
03/01/00,101.45
04/01/00,102.14
05/01/00,101.34
06/01/00,103.02
07/01/00,103.77
08/01/00,103
09/01/00,102.77
10/01/00,102.4
11/01/00,101.58
12/01/00,101.61
01/01/01,104.63
02/01/01,104.27
03/01/01,103.44
04/01/01,102.8
05/01/01,101.76
06/01/01,102.53
07/01/01,102.9
08/01/01,102.26
09/01/01,102.55
10/01/01,101.91
11/01/01,101.47
12/01/01,101.35
01/01/02,107.47
02/01/02,102.73
03/01/02,103.7
04/01/02,102.4
05/01/02,100.97
06/01/02,101.64
07/01/02,101.79
08/01/02,102.53
09/01/02,102.76
10/01/02,102.51
11/01/02,101.85
12/01/02,101.08
01/01/03,104.42
02/01/03,104.16
03/01/03,101.67
04/01/03,101.78
05/01/03,101.47
