dataset;date;Денежные доходы населения, Россия: ежемесячные данные|Реальные располагаемые денежные доходы (доходы за вычетом обязательных платежей, скорректированные на индекс потребительских цен)|в соответствии с Методикой расчета баланса денежных доходов и расходов населения, утвержденной постановлением Госкомстата России от 16.07.1996 № 61|в % к соответствующему периоду предыдущего года
93973;31.01.1999;73.4
93973;28.02.1999;75.9
93973;31.03.1999;77.6
93973;30.04.1999;77.5
93973;31.05.1999;81.3
93973;30.06.1999;82.8
93973;31.07.1999;79.5
93973;31.08.1999;85.6
93973;30.09.1999;103.3
93973;31.10.1999;93.4
93973;30.11.1999;100.5
93973;31.12.1999;111.2
93973;31.01.2000;102.7
93973;29.02.2000;113.3
93973;31.03.2000;118
93973;30.04.2000;111.5
93973;31.05.2000;113.7
93973;30.06.2000;116.5
93973;31.07.2000;115
93973;31.08.2000;112.4
93973;30.09.2000;114.7
93973;31.10.2000;110.5
93973;30.11.2000;114.9
93973;31.12.2000;105.3
93973;31.01.2001;111.7
93973;28.02.2001;105.7
93973;31.03.2001;106.4
93973;30.04.2001;108.2
93973;31.05.2001;104.2
93973;30.06.2001;109.7
93973;31.07.2001;110.1
93973;31.08.2001;112.8
93973;30.09.2001;110.7
93973;31.10.2001;112.6
93973;30.11.2001;107.7
93973;31.12.2001;106.8
93973;31.01.2002;112.1
93973;28.02.2002;110.6
93973;31.03.2002;107.6
93973;30.04.2002;116.6
93973;31.05.2002;107.6
93973;30.06.2002;104.5
93973;31.07.2002;112.9
93973;31.08.2002;108.7
93973;30.09.2002;105.8
93973;31.10.2002;116.5
93973;30.11.2002;115.6
93973;31.12.2002;114.6
93973;31.01.2003;117.2
93973;28.02.2003;119.3
93973;31.03.2003;118.1
93973;30.04.2003;109.8
93973;31.05.2003;121.5
93973;30.06.2003;115.7
93973;31.07.2003;112.1
93973;31.08.2003;110.9
93973;30.09.2003;115.9
93973;31.10.2003;111.7
93973;30.11.2003;111.9
93973;31.12.2003;119.2
93973;31.01.2004;121.1
93973;29.02.2004;110
93973;31.03.2004;109.2
93973;30.04.2004;111
93973;31.05.2004;103.1
93973;30.06.2004;111
93973;31.07.2004;111.4
93973;31.08.2004;108.9
93973;30.09.2004;108.2
93973;31.10.2004;109.3
93973;30.11.2004;111.6
93973;31.12.2004;111.4
93973;31.01.2005;92.8
93973;28.02.2005;108.7
93973;31.03.2005;115.1
93973;30.04.2005;113.3
93973;31.05.2005;118.9
93973;30.06.2005;113.6
93973;31.07.2005;111.9
93973;31.08.2005;111.4
93973;30.09.2005;118.7
93973;31.10.2005;110.6
93973;30.11.2005;110.8
93973;31.12.2005;119.1
93973;31.01.2006;111
93973;28.02.2006;109.4
93973;31.03.2006;109.7
93973;30.04.2006;109.9
93973;31.05.2006;118.7
93973;30.06.2006;118.2
93973;31.07.2006;114.1
93973;31.08.2006;119.6
93973;30.09.2006;110.1
93973;31.10.2006;112.5
93973;30.11.2006;113.5
93973;31.12.2006;114.6
93973;31.01.2007;110.6
93973;28.02.2007;115.1
93973;31.03.2007;110.1
93973;30.04.2007;110.6
93973;31.05.2007;110.4
93973;30.06.2007;109.1
93973;31.07.2007;112.6
93973;31.08.2007;111.1
93973;30.09.2007;113.6
93973;31.10.2007;111.4
93973;30.11.2007;115.5
93973;31.12.2007;112.2
93973;31.01.2008;108.3
93973;29.02.2008;110.7
93973;31.03.2008;104.7
93973;30.04.2008;110.1
93973;31.05.2008;104.2
93973;30.06.2008;104.1
93973;31.07.2008;106.3
93973;31.08.2008;108.6
93973;30.09.2008;99.9
93973;31.10.2008;99.4
93973;30.11.2008;95.4
93973;31.12.2008;89.3
93973;31.01.2009;95.9
93973;28.02.2009;102.6
93973;31.03.2009;105.7
93973;30.04.2009;102.8
93973;31.05.2009;105.6
93973;30.06.2009;103.3
93973;31.07.2009;98.1
93973;31.08.2009;91.8
93973;30.09.2009;102.7
93973;31.10.2009;109.4
93973;30.11.2009;103.6
93973;31.12.2009;112.9
93973;31.01.2010;116.6
93973;28.02.2010;106.9
93973;31.03.2010;106.4
93973;30.04.2010;106.5
93973;31.05.2010;102.9
93973;30.06.2010;104.4
93973;31.07.2010;108.3
93973;31.08.2010;106.3
93973;30.09.2010;104
93973;31.10.2010;102.4
93973;30.11.2010;105
93973;31.12.2010;105.1
93973;31.01.2011;101.1
93973;28.02.2011;100.8
93973;31.03.2011;97.6
93973;30.04.2011;98.7
93973;31.05.2011;96.3
93973;30.06.2011;101.7
93973;31.07.2011;101.2
93973;31.08.2011;101.6
93973;30.09.2011;103
93973;31.10.2011;98.6
93973;30.11.2011;101.7
93973;31.12.2011;103.5
93973;31.01.2012;100.4
93973;29.02.2012;102.7
93973;31.03.2012;103.2
93973;30.04.2012;101.4
93973;31.05.2012;105.4
93973;30.06.2012;107.7
93973;31.07.2012;100.8
93973;31.08.2012;108.2
93973;30.09.2012;104.8
93973;31.10.2012;103.7
93973;30.11.2012;109.1
93973;31.12.2012;105.5
93973;31.01.2013;100.4
93973;28.02.2013;106.6
93973;31.03.2013;109.6
93973;30.04.2013;109
93973;31.05.2013;100.2
93973;30.06.2013;102.1
93973;31.07.2013;104.5
93973;31.08.2013;104.2
93973;30.09.2013;100.8
93973;31.10.2013;105.5
93973;30.11.2013;102.2
93973;31.12.2013;103.4
