date,goal
01/01/91,106.20
02/01/91,104.80
03/01/91,106.30
04/01/91,163.50
05/01/91,103.00
06/01/91,101.20
07/01/91,100.60
08/01/91,100.50
09/01/91,101.10
10/01/91,103.50
11/01/91,108.90
12/01/91,112.10
01/01/92,345.30
02/01/92,138.00
03/01/92,129.90
04/01/92,121.70
05/01/92,111.90
06/01/92,119.10
07/01/92,110.60
08/01/92,108.60
09/01/92,111.50
10/01/92,122.90
11/01/92,126.10
12/01/92,125.20
01/01/93,125.80
02/01/93,124.70
03/01/93,120.10
04/01/93,118.70
05/01/93,118.10
06/01/93,119.90
07/01/93,122.39
08/01/93,126.00
09/01/93,123.00
10/01/93,119.50
11/01/93,116.39
12/01/93,112.50
01/01/94,117.90
02/01/94,110.82
03/01/94,107.41
04/01/94,108.49
05/01/94,106.91
06/01/94,106.00
07/01/94,105.33
08/01/94,104.62
09/01/94,107.96
10/01/94,115.00
11/01/94,114.61
12/01/94,116.44
01/01/95,117.77
02/01/95,111.02
03/01/95,108.94
04/01/95,108.47
05/01/95,107.93
06/01/95,106.66
07/01/95,105.38
08/01/95,104.56
09/01/95,104.46
10/01/95,104.72
11/01/95,104.56
12/01/95,103.20
01/01/96,104.11
02/01/96,102.79
03/01/96,102.80
04/01/96,102.16
05/01/96,101.60
06/01/96,101.17
07/01/96,100.72
08/01/96,99.79
09/01/96,100.33
10/01/96,101.20
11/01/96,101.88
12/01/96,101.42
01/01/97,102.34
02/01/97,101.54
03/01/97,101.43
04/01/97,100.96
05/01/97,100.94
06/01/97,101.10
07/01/97,100.93
08/01/97,99.86
09/01/97,99.70
10/01/97,100.17
11/01/97,100.61
12/01/97,100.96
01/01/98,101.51
02/01/98,100.89
03/01/98,100.64
04/01/98,100.38
05/01/98,100.50
06/01/98,100.08
07/01/98,100.17
08/01/98,103.67
09/01/98,138.43
10/01/98,104.54
11/01/98,105.67
12/01/98,111.61
01/01/99,108.38
02/01/99,104.13
03/01/99,102.79
04/01/99,103.03
05/01/99,102.22
06/01/99,101.91
07/01/99,102.82
08/01/99,101.16
09/01/99,101.48
10/01/99,101.37
11/01/99,101.23
12/01/99,101.26
01/01/00,102.33
02/01/00,101.04
03/01/00,100.64
04/01/00,100.89
05/01/00,101.75
06/01/00,102.55
07/01/00,101.79
08/01/00,100.98
09/01/00,101.32
10/01/00,102.11
11/01/00,101.52
12/01/00,101.64
01/01/01,102.76
02/01/01,102.28
03/01/01,101.86
04/01/01,101.79
05/01/01,101.78
06/01/01,101.62
07/01/01,100.45
08/01/01,100.01
09/01/01,100.60
10/01/01,101.09
11/01/01,101.36
12/01/01,101.60
01/01/02,103.09
02/01/02,101.16
03/01/02,101.08
04/01/02,101.16
05/01/02,101.69
06/01/02,100.53
07/01/02,100.72
08/01/02,100.09
09/01/02,100.40
10/01/02,101.07
11/01/02,101.61
12/01/02,101.54
01/01/03,102.40
02/01/03,101.63
03/01/03,101.05
04/01/03,101.02
05/01/03,100.80
06/01/03,100.80
07/01/03,100.71
08/01/03,99.59
09/01/03,100.34
10/01/03,101.00
11/01/03,100.96
12/01/03,101.10
01/01/04,101.75
02/01/04,100.99
03/01/04,100.75
04/01/04,100.99
05/01/04,100.74
06/01/04,100.78
07/01/04,100.92
08/01/04,100.42
09/01/04,100.43
10/01/04,101.14
11/01/04,101.11
12/01/04,101.14
01/01/05,102.62
02/01/05,101.23
03/01/05,101.34
04/01/05,101.12
05/01/05,100.80
06/01/05,100.64
07/01/05,100.46
08/01/05,99.86
09/01/05,100.25
10/01/05,100.55
11/01/05,100.74
12/01/05,100.82
01/01/06,102.43
